City,Time,Temperature,Condition
Amsterdam,2025-03-19 18:00:00,14.47,clear sky
Amsterdam,2025-03-19 21:00:00,11.18,clear sky
Amsterdam,2025-03-20 00:00:00,7.55,few clouds
Amsterdam,2025-03-20 03:00:00,6.59,broken clouds
Amsterdam,2025-03-20 06:00:00,6.28,broken clouds
Amsterdam,2025-03-20 09:00:00,12.09,broken clouds
Amsterdam,2025-03-20 12:00:00,16.03,scattered clouds
Amsterdam,2025-03-20 15:00:00,14.9,broken clouds
Amsterdam,2025-03-20 18:00:00,11.43,broken clouds
Amsterdam,2025-03-20 21:00:00,8.76,few clouds
Amsterdam,2025-03-21 00:00:00,8.33,clear sky
Amsterdam,2025-03-21 03:00:00,7.67,clear sky
Amsterdam,2025-03-21 06:00:00,7.2,clear sky
Amsterdam,2025-03-21 09:00:00,13.39,clear sky
Amsterdam,2025-03-21 12:00:00,17.92,scattered clouds
Amsterdam,2025-03-21 15:00:00,18.68,overcast clouds
Amsterdam,2025-03-21 18:00:00,15.35,overcast clouds
Amsterdam,2025-03-21 21:00:00,13.52,overcast clouds
Amsterdam,2025-03-22 00:00:00,12.56,overcast clouds
Amsterdam,2025-03-22 03:00:00,11.33,overcast clouds
Amsterdam,2025-03-22 06:00:00,10.38,overcast clouds
Amsterdam,2025-03-22 09:00:00,11.43,overcast clouds
Amsterdam,2025-03-22 12:00:00,11.17,light rain
Amsterdam,2025-03-22 15:00:00,14.81,overcast clouds
Amsterdam,2025-03-22 18:00:00,11.58,light rain
Amsterdam,2025-03-22 21:00:00,10.13,light rain
Amsterdam,2025-03-23 00:00:00,10.96,light rain
Amsterdam,2025-03-23 03:00:00,10.93,overcast clouds
Amsterdam,2025-03-23 06:00:00,10.17,light rain
Amsterdam,2025-03-23 09:00:00,10.63,light rain
Amsterdam,2025-03-23 12:00:00,11.81,light rain
Amsterdam,2025-03-23 15:00:00,12.04,overcast clouds
Amsterdam,2025-03-23 18:00:00,10.06,overcast clouds
Amsterdam,2025-03-23 21:00:00,8.58,overcast clouds
Amsterdam,2025-03-24 00:00:00,8.15,overcast clouds
Amsterdam,2025-03-24 03:00:00,8.64,overcast clouds
Amsterdam,2025-03-24 06:00:00,7.66,overcast clouds
Amsterdam,2025-03-24 09:00:00,9.79,overcast clouds
Amsterdam,2025-03-24 12:00:00,10.62,overcast clouds
Amsterdam,2025-03-24 15:00:00,10.6,overcast clouds
Amsterdam,2025-03-19 18:00:00,14.47,clear sky
Amsterdam,2025-03-19 21:00:00,11.18,clear sky
Amsterdam,2025-03-20 00:00:00,7.55,few clouds
Amsterdam,2025-03-20 03:00:00,6.59,broken clouds
Amsterdam,2025-03-20 06:00:00,6.28,broken clouds
Amsterdam,2025-03-20 09:00:00,12.09,broken clouds
Amsterdam,2025-03-20 12:00:00,16.03,scattered clouds
Amsterdam,2025-03-20 15:00:00,14.9,broken clouds
Amsterdam,2025-03-20 18:00:00,11.43,broken clouds
Amsterdam,2025-03-20 21:00:00,8.76,few clouds
Amsterdam,2025-03-21 00:00:00,8.33,clear sky
Amsterdam,2025-03-21 03:00:00,7.67,clear sky
Amsterdam,2025-03-21 06:00:00,7.2,clear sky
Amsterdam,2025-03-21 09:00:00,13.39,clear sky
Amsterdam,2025-03-21 12:00:00,17.92,scattered clouds
Amsterdam,2025-03-21 15:00:00,18.68,overcast clouds
Amsterdam,2025-03-21 18:00:00,15.35,overcast clouds
Amsterdam,2025-03-21 21:00:00,13.52,overcast clouds
Amsterdam,2025-03-22 00:00:00,12.56,overcast clouds
Amsterdam,2025-03-22 03:00:00,11.33,overcast clouds
Amsterdam,2025-03-22 06:00:00,10.38,overcast clouds
Amsterdam,2025-03-22 09:00:00,11.43,overcast clouds
Amsterdam,2025-03-22 12:00:00,11.17,light rain
Amsterdam,2025-03-22 15:00:00,14.81,overcast clouds
Amsterdam,2025-03-22 18:00:00,11.58,light rain
Amsterdam,2025-03-22 21:00:00,10.13,light rain
Amsterdam,2025-03-23 00:00:00,10.96,light rain
Amsterdam,2025-03-23 03:00:00,10.93,overcast clouds
Amsterdam,2025-03-23 06:00:00,10.17,light rain
Amsterdam,2025-03-23 09:00:00,10.63,light rain
Amsterdam,2025-03-23 12:00:00,11.81,light rain
Amsterdam,2025-03-23 15:00:00,12.04,overcast clouds
Amsterdam,2025-03-23 18:00:00,10.06,overcast clouds
Amsterdam,2025-03-23 21:00:00,8.58,overcast clouds
Amsterdam,2025-03-24 00:00:00,8.15,overcast clouds
Amsterdam,2025-03-24 03:00:00,8.64,overcast clouds
Amsterdam,2025-03-24 06:00:00,7.66,overcast clouds
Amsterdam,2025-03-24 09:00:00,9.79,overcast clouds
Amsterdam,2025-03-24 12:00:00,10.62,overcast clouds
Amsterdam,2025-03-24 15:00:00,10.6,overcast clouds
